vehicle_id,country_code,year,traffic_volume
CAR,SI,2013,9098
CAR,SI,2013,9843
CAR,SI,2013,10604
CAR,SI,2013,10913
CAR,SI,2013,10976
CAR,TR,2013,59467.714
CAR,TR,2013,68179.235
CAR,TR,2013,76926.496
CAR,TR,2013,80012.46
CAR,TR,2013,77692.272
CAR,TR,2013,76541.571
CAR,TR,2013,82195.503
CAR,TR,2013,87375.882
CAR,TR,2013,84260.854
CAR,TR,2013,86615.541
LOR_GT3P5-6,CZ,2013,1214.477
LOR_GT3P5-6,CZ,2013,1121.617
LOR_GT3P5-6,CZ,2013,119.57
LOR_GT3P5-6,FI,2013,485
LOR_GT3P5-6,FR,2013,64.961
LOR_GT3P5-6,FR,2013,64.878
LOR_GT3P5-6,FR,2014,65.072
LOR_GT3P5-6,FR,2014,61.682
LOR_GT3P5-6,FR,2014,64.194
LOR_GT3P5-6,FR,2014,61.77
LOR_GT3P5-6,FR,2014,58.246
LOR_GT3P5-6,FR,2014,50.939
LOR_GT3P5-6,FR,2014,56.092
LOR_GT3P5-6,FR,2014,54.899
LOR_GT3P5-6,FR,2014,53.528
LOR_GT3P5-6,FR,2014,51.763
LOR_GT3P5-6,LT,2014,37
LOR_GT3P5-6,LT,2014,15.4
LOR_GT3P5-6,LT,2014,23.5
LOR_GT3P5-6,LT,2014,24.5
LOR_GT3P5-6,LT,2014,20.9
LOR_GT3P5-6,LT,2014,15.5
LOR_GT3P5-6,LT,2014,19.9
LOR_GT3P5-6,LT,2014,36.5
LOR_GT3P5-6,LT,2014,23.5
LOR_GT3P5-6,LT,2014,39.2
LOR_GT3P5-6,LT,2014,0.4
LOR_GT3P5-6,LT,2014,1.9
LOR_GT3P5-6,LV,2014,88.7
LOR_GT3P5-6,LV,2014,83.9
LOR_GT3P5-6,LV,2014,76.4
LOR_GT3P5-6,LV,2014,20.5
LOR_GT3P5-6,LV,2014,23.2
LOR_GT3P5-6,LV,2014,21
LOR_GT3P5-6,LV,2014,19.8
LOR_GT3P5-6,LV,2014,22.3
LOR_GT3P5-6,LV,2014,14.6
LOR_GT3P5-6,LV,2014,12.9
LOR_GT3P5-6,LV,2014,12
LOR_GT3P5-6,LV,2014,11.7
LOR_GT3P5-6,MT,2014,63.8
LOR_GT3P5-6,MT,2014,66.29
LOR_GT3P5-6,MT,2014,40.98
LOR_GT3P5-6,MT,2014,71.35
LOR_GT3P5-6,MT,2014,65.66
LOR_GT3P5-6,MT,2014,61.18
LOR_GT3P5-6,MT,2014,59.38
LOR_GT3P5-6,MT,2014,57.1
LOR_GT3P5-6,MT,2014,60
LOR_GT3P5-6,MT,2014,60.927
LOR_GT3P5-6,MT,2014,63.69
LOR_GT3P5-6,MT,2014,60.271
LOR_GT3P5-6,NO,2014,162
LOR_GT3P5-6,NO,2014,142
LOR_GT3P5-6,NO,2014,125
LOR_GT3P5-6,NO,2014,96
LOR_GT3P5-6,NO,2014,79
LOR_GT3P5-6,NO,2014,65
LOR_GT3P5-6,NO,2014,59
LOR_GT3P5-6,NO,2014,51
LOR_GT3P5-6,NO,2014,50
LOR_GT3P5-6,NO,2014,49
LOR_GT3P5-6,NO,2014,45
LOR_GT3P5-6,NO,2014,46
LOR_GT3P5-6,PT,2014,20
LOR_GT3P5-6,PT,2014,16
LOR_GT3P5-6,PT,2014,14.82
LOR_GT3P5-6,PT,2014,8.7
LOR_GT3P5-6,PT,2014,7.97
LOR_GT3P5-6,PT,2014,16.41
